,confessions,amitheasshole,rocstories,dearabby,total,average,model,shot_type
rot-agree-llm-prompt-output-zerop-nodescription_label_dbrx-instruct_0,103.0,102.0,112.5,105.5,423.0,105.75,dbrx-instruct,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_dbrx-instruct_0,76.0,76.0,63.5,86.5,302.0,75.5,dbrx-instruct,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_dbrx-instruct_0,76.0,66.0,71.5,80.5,294.0,73.5,dbrx-instruct,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_dbrx-instruct_0,126.0,131.0,132.5,120.5,510.0,127.5,dbrx-instruct,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_dbrx-instruct_0,92.0,92.0,76.5,97.5,358.0,89.5,dbrx-instruct,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_dbrx-instruct_0,82.0,72.0,75.5,88.5,318.0,79.5,dbrx-instruct,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_gemini-1.0-pro-001_0,108.0,113.0,110.5,103.5,435.0,108.75,gemini-1.0-pro-001,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_gemini-1.0-pro-001_0,66.0,64.0,54.5,78.5,263.0,65.75,gemini-1.0-pro-001,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_gemini-1.0-pro-001_0,85.0,87.0,77.5,82.5,332.0,83.0,gemini-1.0-pro-001,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_gemini-1.0-pro-001_0,88.0,82.0,75.5,85.5,331.0,82.75,gemini-1.0-pro-001,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_gemini-1.0-pro-001_0,72.0,65.0,58.5,88.5,284.0,71.0,gemini-1.0-pro-001,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_gemini-1.0-pro-001_0,67.0,64.0,58.5,81.5,271.0,67.75,gemini-1.0-pro-001,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_gemini-1.5-pro-001_0,107.0,102.0,98.5,106.5,414.0,103.5,gemini-1.5-pro-001,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_gemini-1.5-pro-001_0,95.0,90.0,85.5,100.5,371.0,92.75,gemini-1.5-pro-001,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_gemini-1.5-pro-001_0,88.0,92.0,76.5,94.5,351.0,87.75,gemini-1.5-pro-001,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_gemini-1.5-pro-001_0,103.0,98.0,87.5,100.5,389.0,97.25,gemini-1.5-pro-001,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_gemini-1.5-pro-001_0,81.0,84.0,64.5,86.5,316.0,79.0,gemini-1.5-pro-001,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_gemini-1.5-pro-001_0,75.0,77.0,64.5,79.5,296.0,74.0,gemini-1.5-pro-001,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_gpt-3.5-turbo-0613_0,173.0,166.0,179.5,191.5,710.0,177.5,gpt-3.5-turbo-0613,zero_shot_no_description
